U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Classe
0.0,0.0977279,0.104313,0.11197,0.124264,0.134783,0.165722,0.179408,0.181556,0.194917,0.262896,0.315439,0.340484,0.542261,0.690812,0.717992,0.877103,0.917013,1.0,-0.0758658,-0.066571,-0.0575587,-0.0266058,-0.0272855,-0.0269868,-0.0274808,-0.0237674,-0.0217309,-0.0216549,-0.0217066,-0.0216527,-0.0217023,-0.0216311,-0.0217797,-0.0215735,-0.0219311,-0.0242238,-0.0255946,-0.0266919,-0.0270511,0.697241,0.527122,0.369138,0.0723606,0.0333985,-0.0149495,-0.108801,-0.12865,-0.170953,-0.190568,-0.261353,-0.315278,-0.385083,-0.449811,-0.483621,-0.482378,-0.486292,-0.484401,-0.485493,-0.484785,-0.485211,1
0.0,0.0643884,0.118037,0.168615,0.222044,0.277501,0.333022,0.388844,0.444461,0.500019,0.555565,0.611111,0.666667,0.722222,0.777777,0.833333,0.888889,0.944445,1.0,-0.0748005,-0.0722037,-0.0561028,-0.021604,-0.0253,-0.0195845,-0.0228128,-0.0210752,-0.0220026,-0.0215105,-0.0217659,-0.0216441,-0.0216804,-0.0217226,-0.0215195,-0.0228225,-0.0238236,-0.0249496,-0.0260044,-0.0267472,-0.0270969,0.700642,0.575377,0.418042,-0.0395102,-0.159281,-0.275166,-0.344999,-0.411415,-0.435209,-0.459218,-0.472176,-0.480533,-0.481518,-0.483318,-0.485348,-0.485012,-0.485133,-0.485074,-0.485108,-0.485092,-0.485095,1
0.0,0.0278579,0.0522348,0.107939,0.197469,0.265649,0.384178,0.612614,0.64927,0.675401,0.695923,0.711706,0.724852,0.73718,0.749818,0.763498,0.78093,0.841884,1.0,-0.442036,-0.431023,-0.455058,-0.373307,-0.28496,-0.186913,-0.159027,-0.153124,-0.15146,-0.151257,-0.122479,-0.110663,-0.115322,-0.113045,-0.114211,-0.113652,-0.113869,-0.1138,-0.113844,-0.113808,-0.113825,0.243141,0.25905,0.233164,0.356318,0.523186,0.664317,0.704368,0.711069,0.703293,0.705248,0.455629,0.220369,0.0739094,-0.00408695,-0.0853241,-0.12365,-0.172218,-0.291445,-0.464749,-0.452537,-0.463794,1
0.0,0.0284017,0.0525275,0.107897,0.19731,0.265612,0.384174,0.613481,0.649207,0.675464,0.695985,0.711461,0.724698,0.737178,0.749834,0.763486,0.780905,0.841924,1.0,-0.441959,-0.431164,-0.454856,-0.37269,-0.28507,-0.186909,-0.159067,-0.153042,-0.151557,-0.151129,-0.122375,-0.11074,-0.11528,-0.113061,-0.114202,-0.113656,-0.113868,-0.113801,-0.113843,-0.113808,-0.113825,0.243361,0.258682,0.233649,0.357267,0.523137,0.664182,0.704516,0.710694,0.703923,0.704325,0.454431,0.221507,0.0744085,-0.00305592,-0.0852689,-0.123618,-0.1722,-0.291461,-0.464748,-0.452539,-0.463794,1
0.0,0.0301232,0.0514613,0.139435,0.151651,0.305764,0.36882,0.436113,0.532989,0.570448,0.603549,0.652191,0.701125,0.734104,0.76539,0.812643,0.878042,0.97923,1.0,-0.441661,-0.431631,-0.453803,-0.349319,-0.295143,-0.174812,-0.161492,-0.154902,-0.154004,-0.151321,-0.151218,-0.154002,-0.147498,-0.104018,-0.117445,-0.112114,-0.114741,-0.113078,-0.114304,-0.113616,-0.113941,0.243843,0.258039,0.235126,0.393404,0.505244,0.682445,0.700868,0.708778,0.706938,0.706669,0.706371,0.694942,0.740218,0.167146,-0.0725392,-0.195955,-0.360515,-0.443331,-0.460916,-0.459967,-0.464762,1
0.0,0.0592127,0.111345,0.166672,0.222268,0.277823,0.333342,0.388911,0.444535,0.500324,0.556744,0.609907,0.650737,0.701394,0.768533,0.830619,0.887913,0.944022,1.0,-0.429771,-0.466989,-0.382177,-0.297827,-0.21614,-0.176927,-0.162253,-0.155994,-0.156063,-0.152681,-0.153003,-0.149075,-0.156736,-0.141694,-0.102468,-0.119553,-0.110815,-0.11563,-0.112386,-0.114707,-0.113449,0.258332,0.215854,0.337352,0.500913,0.620185,0.680863,0.698743,0.707558,0.707332,0.707551,0.706782,0.706833,0.698653,0.718945,0.0164799,-0.187262,-0.38485,-0.429595,-0.46435,-0.455297,-0.465342,1
0.0,0.0456594,0.102085,0.189338,0.223215,0.291614,0.392916,0.438271,0.467269,0.497497,0.527435,0.55946,0.589426,0.671408,0.722062,0.775105,0.827658,0.908781,1.0,-0.0264979,-0.056604,-0.238433,-0.337369,-0.338213,-0.269924,-0.129334,-0.00714096,0.0223881,-0.00334088,-0.109314,-0.217808,-0.348278,-0.57291,-0.558452,-0.597556,-0.31465,-0.0409125,0.0952505,0.141688,0.129447,0.372154,0.313596,0.276112,0.249898,0.416261,0.527993,0.560136,0.589171,0.331009,0.164951,-0.0486013,-0.174653,-0.283443,-0.355798,-0.342765,-0.337656,-0.293701,-0.308421,-0.283287,-0.234981,-0.243272,2
0.0,0.0465447,0.104101,0.189738,0.223073,0.291272,0.390581,0.436061,0.465348,0.495499,0.525519,0.557473,0.587645,0.658324,0.721645,0.771998,0.827585,0.908606,1.0,-0.0258931,-0.0585376,-0.242153,-0.337524,-0.337507,-0.269914,-0.131177,-0.00992922,0.022325,-7.16602,-0.0995532,-0.214316,-0.333777,-0.559573,-0.552514,-0.614232,-0.325398,-0.0407464,0.0932835,0.142775,0.129027,0.372318,0.312484,0.275116,0.251577,0.418247,0.527801,0.55915,0.590173,0.341328,0.176924,-0.0358325,-0.1689,-0.276761,-0.352274,-0.342779,-0.341258,-0.294231,-0.30821,-0.283808,-0.234732,-0.243365,2
0.0,0.0290193,0.034714,0.249679,0.319428,0.40272,0.426306,0.433096,0.502511,0.533915,0.547478,0.578447,0.706005,0.722182,0.735771,0.812773,0.840351,0.904489,1.0,-0.0462256,-0.00689562,-0.111069,-0.405316,-0.342303,-0.0893375,-0.00174117,0.0124221,0.0256809,-0.0667093,-0.225239,-0.318148,-0.621779,-0.55473,-0.576336,-0.398148,-0.226602,-0.000783233,0.0810018,0.152214,0.125637,0.356764,0.354194,0.316762,0.168674,0.558527,0.557616,0.564737,0.371756,0.259546,-0.0179261,-0.174557,-0.264489,-0.381097,-0.333839,-0.337333,-0.301647,-0.300326,-0.303239,-0.280998,-0.235083,-0.243138,2
0.0,0.0558737,0.115274,0.16873,0.221869,0.278044,0.332639,0.386427,0.453162,0.50219,0.55471,0.605571,0.666383,0.718408,0.767978,0.837831,0.890843,0.944748,1.0,-0.0213851,-0.0764041,-0.266608,-0.32744,-0.337855,-0.288022,-0.183118,-0.0755127,-0.00156982,0.0458914,-0.115714,-0.329346,-0.575822,-0.553775,-0.608284,-0.321242,-0.0556537,0.0526284,0.129587,0.131649,0.132786,0.373531,0.300813,0.271546,0.263011,0.405377,0.513733,0.551149,0.574851,0.525431,0.281311,-0.0800654,-0.284242,-0.354348,-0.341805,-0.340259,-0.293209,-0.306051,-0.293057,-0.249925,-0.242,-0.240838,2
